energy,energy_error,gradient_error
-3257.46385688,0.0,0.69
-3258.43711716,0.97,0.83
-3258.74686443,0.31,0.52
-3259.08041833,0.33,0.24
-3259.25865367,0.18,0.099
-3259.34184355,0.083,0.083
-3259.39109065,0.049,0.073
-3259.42691001,0.036,0.047
-3259.45791081,0.031,0.03
-3259.47530709,0.017,0.024
-3259.4886316,0.013,0.029
-3259.50249773,0.014,0.022
-3259.51824913,0.016,0.024
-3259.53130611,0.013,0.022
-3259.54455952,0.013,0.027
-3259.55346493,0.0089,0.052
-3259.55673142,0.0033,0.046
-3259.56491979,0.0082,0.017
-3259.56883983,0.0039,0.021
-3259.57402326,0.0052,0.023
-3259.57843766,0.0044,0.021
-3259.58147005,0.003,0.012
-3259.58514442,0.0037,0.013
-3259.58901539,0.0039,0.0087
-3259.59174953,0.0027,0.0089
-3259.59458741,0.0028,0.01
-3259.59652048,0.0019,0.01
-3259.59797586,0.0015,0.015
-3259.59887574,0.0009,0.011
-3259.59985766,0.00098,0.0056
-3259.60084571,0.00099,0.0092
-3259.60142258,0.00058,0.0095
-3259.60209836,0.00068,0.0042
-3259.60267196,0.00057,0.0036
-3259.6031115,0.00044,0.0043
-3259.6035735,0.00046,0.0034
-3259.60405327,0.00048,0.0045
-3259.60443855,0.00039,0.0039
-3259.6048181,0.00038,0.0044
-3259.60522512,0.00041,0.0036
-3259.60554327,0.00032,0.0045
-3259.60587976,0.00034,0.0028
-3259.60623886,0.00036,0.0034
-3259.60658154,0.00034,0.0029
-3259.60694925,0.00037,0.0033
-3259.60739335,0.00044,0.0031
-3259.60791864,0.00053,0.0044
-3259.6084473,0.00053,0.0035
-3259.6089003,0.00045,0.0083
-3259.60929448,0.00039,0.012
-3259.60978936,0.00049,0.0061
-3259.61033006,0.00054,0.0054
-3259.61091877,0.00059,0.0045
-3259.61139551,0.00048,0.0035
-3259.61193432,0.00054,0.0034
-3259.6124196,0.00049,0.0056
-3259.61269059,0.00027,0.019
-3259.61329262,0.0006,0.0072
-3259.61379539,0.0005,0.0056
-3259.61404978,0.00025,0.0033
-3259.61433118,0.00028,0.003
-3259.61472687,0.0004,0.0026
-3259.61515337,0.00043,0.0062
-3259.61544376,0.00029,0.0039
-3259.61577675,0.00033,0.0034
-3259.61617984,0.0004,0.0022
-3259.6164152,0.00024,0.0031
-3259.6166276,0.00021,0.0027
-3259.61685855,0.00023,0.0023
-3259.61709285,0.00023,0.0027
-3259.61727367,0.00018,0.0032
-3259.61746236,0.00019,0.0051
-3259.61762788,0.00017,0.0024
-3259.61782347,0.0002,0.0027
-3259.61801292,0.00019,0.0036
-3259.61823997,0.00023,0.0025
-3259.61854688,0.00031,0.0021
-3259.61878511,0.00024,0.0023
-3259.61904831,0.00026,0.0029
-3259.61933954,0.00029,0.003
-3259.61963164,0.00029,0.0024
-3259.61990922,0.00028,0.0026
-3259.62017451,0.00027,0.0029
-3259.62044084,0.00027,0.0027
-3259.62069559,0.00025,0.0019
-3259.62091227,0.00022,0.0022
-3259.62114405,0.00023,0.0025
-3259.62141143,0.00027,0.0023
-3259.62164781,0.00024,0.0021
-3259.62183495,0.00019,0.0017
-3259.62201446,0.00018,0.0017
-3259.62217578,0.00016,0.0018
-3259.62231922,0.00014,0.0018
-3259.62245992,0.00014,0.0017
-3259.62259757,0.00014,0.0014
-3259.62273288,0.00014,0.0014
-3259.62286273,0.00013,0.0016
-3259.62299825,0.00014,0.0016
-3259.62315423,0.00016,0.002
-3259.62332165,0.00017,0.0019
-3259.62350632,0.00018,0.0019
-3259.62371043,0.0002,0.0022
-3259.62389538,0.00018,0.0024
-3259.62406775,0.00017,0.0018
-3259.6242308,0.00016,0.0018
-3259.62437985,0.00015,0.0018
-3259.62452097,0.00014,0.002
-3259.62465696,0.00014,0.0017
-3259.62478014,0.00012,0.0016
-3259.6249064,0.00013,0.0018
-3259.62504431,0.00014,0.0017
-3259.62517448,0.00013,0.0013
-3259.62529385,0.00012,0.0013
-3259.62540961,0.00012,0.0014
-3259.62551372,0.0001,0.0013
-3259.62559897,8.5e-05,0.0011
-3259.62567421,7.5e-05,0.0012
-3259.62575207,7.8e-05,0.0012
-3259.62583349,8.1e-05,0.0013
-3259.62591766,8.4e-05,0.0017
-3259.62599063,7.3e-05,0.0012
-3259.62606577,7.5e-05,0.0011
-3259.62614198,7.6e-05,0.0014
-3259.62622172,8e-05,0.0012
-3259.62630525,8.4e-05,0.0012
-3259.62639449,8.9e-05,0.0013
-3259.62648689,9.2e-05,0.0013
-3259.62657945,9.3e-05,0.0017
-3259.62667273,9.3e-05,0.0016
-3259.62677448,0.0001,0.0013
-3259.62687742,0.0001,0.0014
-3259.62699311,0.00012,0.0014
-3259.62710944,0.00012,0.0015
-3259.62724444,0.00014,0.0017
-3259.62738183,0.00014,0.0018
-3259.6275134,0.00013,0.0019
-3259.62762699,0.00011,0.0021
-3259.6277362,0.00011,0.0017
-3259.62784718,0.00011,0.002
-3259.62797776,0.00013,0.0019
-3259.62811567,0.00014,0.0017
-3259.62826657,0.00015,0.0019
-3259.62840691,0.00014,0.0022
-3259.62855371,0.00015,0.0025
-3259.6287084,0.00015,0.0021
-3259.62884694,0.00014,0.0017
-3259.6289851,0.00014,0.0019
-3259.62911929,0.00013,0.0022
-3259.62925864,0.00014,0.0023
-3259.6294148,0.00016,0.0018
-3259.62957607,0.00016,0.003
-3259.62975718,0.00018,0.0034
-3259.62994569,0.00019,0.0029
-3259.63011607,0.00017,0.0059
-3259.63031365,0.0002,0.0024
-3259.63049194,0.00018,0.0032
-3259.63070011,0.00021,0.0022
-3259.63086515,0.00017,0.0063
-3259.63108238,0.00022,0.0035
-3259.63127492,0.00019,0.0048
-3259.63160454,0.00033,0.0055
-3259.63188313,0.00028,0.0068
-3259.63234844,0.00047,0.0048
-3259.63223544,0.00011,0.037
-3259.63256002,0.00021,0.015
-3259.63311463,0.00055,0.0093
-3259.63359765,0.00048,0.015
-3259.6341323,0.00053,0.0075
-3259.63449911,0.00037,0.0066
-3259.63498906,0.00049,0.017
-3259.63543354,0.00044,0.01
-3259.63579868,0.00037,0.0093
-3259.6363559,0.00056,0.0049
-3259.63667524,0.00032,0.02
-3259.6372397,0.00056,0.0066
-3259.63756597,0.00033,0.0057
-3259.63808317,0.00052,0.0042
-3259.63867499,0.00059,0.0052
-3259.63915004,0.00048,0.0042
-3259.63944337,0.00029,0.0096
-3259.63984776,0.0004,0.0038
-3259.64011467,0.00027,0.0053
-3259.64033904,0.00022,0.0017
-3259.64049015,0.00015,0.0018
-3259.64063443,0.00014,0.0018
-3259.64079327,0.00016,0.0019
-3259.64097225,0.00018,0.0018
-3259.64114906,0.00018,0.0026
-3259.64125731,0.00011,0.0021
-3259.6413917,0.00013,0.0022
-3259.64157057,0.00018,0.0014
-3259.64166589,9.5e-05,0.0014
-3259.64174971,8.4e-05,0.0015
-3259.64182226,7.3e-05,0.0011
-3259.6419032,8.1e-05,0.0015
-3259.64197281,7e-05,0.0011
-3259.64203566,6.3e-05,0.0012
-3259.64210266,6.7e-05,0.0012
-3259.64217752,7.5e-05,0.0017
-3259.64224466,6.7e-05,0.0017
-3259.64229551,5.1e-05,0.0017
-3259.64233827,4.3e-05,0.0012
-3259.64238182,4.4e-05,0.00085
