structure,radius,Unitcell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surf_A2,Number_of_pockets,Pocket_surf_A2
BAMOF,1.2,3017.51,0.846203,777.448,2576.45,3044.72,0,0,0,1,777.448,0,
BAMOF,1.3,3017.51,0.846203,735.957,2438.95,2882.23,0,0,0,1,735.957,0,
BAMOF,1.4,3017.51,0.846203,694.258,2300.76,2718.92,0,0,0,1,694.258,0,
BAMOF,1.5,3017.51,0.846203,652.215,2161.43,2554.27,0,0,0,1,652.215,0,
BAMOF,1.6,3017.51,0.846203,611.473,2026.41,2394.72,0,0,0,1,611.473,0,
BAMOF,1.7,3017.51,0.846203,571.223,1893.03,2237.08,0,0,0,1,571.223,0,
BAMOF,1.8,3017.51,0.846203,527.996,1749.77,2067.79,0,0,0,1,527.996,0,
BAMOF,1.9,3017.51,0.846203,488.577,1619.14,1913.42,0,0,0,1,488.577,0,
BAMOF,2.0,3017.51,0.846203,450.844,1494.09,1765.64,0,0,0,1,450.844,0,
BAMOF,2.1,3017.51,0.846203,410.204,1359.41,1606.48,0,0,0,1,410.204,0,
BAMOF,2.2,3017.51,0.846203,371.712,1231.85,1455.74,0,0,0,1,371.712,0,
BAMOF,2.3,3017.51,0.846203,331.772,1099.49,1299.32,3.41926,11.3314,13.3909,1,331.772,2,1.29973
BAMOF,2.4,3017.51,0.846203,301.41,998.87,1180.42,0.641329,2.12536,2.51164,1,301.41,2,0.15306
BAMOF,2.5,3017.51,0.846203,269.523,893.194,1055.53,0,0,0,1,269.523,0,
MIL125,1.2,3249.82,0.845,833.596,2565.05,3035.56,0,0,0,1,833.596,0,
MIL125,1.3,3249.82,0.845,798.018,2455.57,2906,0,0,0,1,798.018,0,
MIL125,1.4,3249.82,0.845,758.975,2335.43,2763.83,0,0,0,1,758.975,0,
MIL125,1.5,3249.82,0.845,718.466,2210.78,2616.31,0,0,0,1,718.466,0,
MIL125,1.6,3249.82,0.845,671.101,2065.04,2443.83,0,0,0,1,671.101,0,
MIL125,1.7,3249.82,0.845,626.287,1927.14,2280.64,0,0,0,1,626.287,0,
MIL125,1.8,3249.82,0.845,576.519,1774,2099.41,0,0,0,1,576.519,0,
MIL125,1.9,3249.82,0.845,521.024,1603.24,1897.32,0,0,0,1,521.024,0,
MIL125,2.0,3249.82,0.845,468.054,1440.24,1704.43,0,0,0,1,468.054,0,
MIL125,2.1,3249.82,0.845,397.37,1222.74,1447.03,20.5539,63.2462,74.8476,1,397.37,1,20.5539
MIL125,2.2,3249.82,0.845,0,0,0,375.489,1155.41,1367.35,0,,3,347.74
MIL125,2.3,3249.82,0.845,0,0,0,340.53,1047.84,1240.05,0,,3,324.825
MIL125,2.4,3249.82,0.845,0,0,0,312.952,962.98,1139.62,0,,5,307.154
MIL125,2.5,3249.82,0.845,0,0,0,288.361,887.312,1050.07,0,,4,287.764
